,make,model,mileage,fuel-type,first-registration,price
187,mercedes-benz,a 250,94000,b,04-2014,22000
188,mercedes-benz,a 250,11300,2,06-2022,36200
189,mercedes-benz,a 250,10355,2,10-2022,40100
190,mercedes-benz,a 250,18000,2,07-2022,41000
191,mercedes-benz,a 250,30297,b,11-2020,32900
192,mercedes-benz,a 250,28000,b,11-2020,34900
193,mercedes-benz,a 250,25927,b,11-2021,37990
194,mercedes-benz,a 250,62071,b,05-2017,27514
195,mercedes-benz,a 250,62965,2,01-2020,34500
196,mercedes-benz,a 250,8634,2,09-2022,40100
197,mercedes-benz,a 250,74000,b,03-2019,34500
198,mercedes-benz,a 250,73010,b,07-2018,28500
199,mercedes-benz,a 250,36500,2,09-2020,30975
200,mercedes-benz,a 250,29800,2,03-2021,35500
201,mercedes-benz,a 250,16000,2,12-2021,33900
202,mercedes-benz,a 250,11300,2,06-2022,36200
203,mercedes-benz,a 250,0,2,new,48891
204,mercedes-benz,a 250,41000,b,11-2018,31000
205,mercedes-benz,a 250,4458,2,10-2022,40100
206,mercedes-benz,a 250,20121,2,12-2020,35000
207,mercedes-benz,a 250,8634,2,09-2022,40100
208,mercedes-benz,a 250,34000,2,12-2020,39000
209,mercedes-benz,a 250,50707,2,06-2022,38000
210,mercedes-benz,a 250,14930,2,09-2022,35900
211,mercedes-benz,a 250,14930,2,09-2022,35900
212,mercedes-benz,a 250,118000,b,01-2014,21300
213,mercedes-benz,a 250,10355,2,10-2022,40100
214,mercedes-benz,a 250,unknown,2,new,57495
215,mercedes-benz,a 250,28000,2,07-2021,36000
216,mercedes-benz,a 250,10824,2,10-2022,40100
217,mercedes-benz,a 250,34300,2,03-2021,37950
218,mercedes-benz,a 250,15900,2,01-2021,35900
219,mercedes-benz,a 250,62071,b,05-2017,27514
220,mercedes-benz,a 250,89000,b,10-2018,28500
221,mercedes-benz,a 250,12133,2,10-2022,40100
222,mercedes-benz,a 250,70000,b,01-2017,28300
223,mercedes-benz,a 250,25749,2,07-2022,35100
224,mercedes-benz,a 250,98000,b,10-2018,25999
225,mercedes-benz,a 250,99000,b,07-2016,24900
